username,full_name,twitter_url,tweet_text,tweet_time,number_of_likes,no_of_retweets,no_of_replies,mentions,no_of_mentions,hashtags,no_of_hashtags,call_to_action,image_url
raj_samani,Raj Samani,https://twitter.com/Raj_Samani/status/1254676532678795266,"""""Since January, we have seen an increase of 30,000% in phishing, malicious websites, and malware targeting remote users—all related to COVID-19"" https",2020-04-27 00:39:00,21,22,0,,0,,0,,https://pbs.twimg.com/media/EWmBjnsXkAAHJjh.jpg
trendmicrorsrch,Trend Micro Research,https://twitter.com/TrendMicroRSRCH/status/1254454850500415490,"""How exposed #Redis instances can be abused to perform remote code execution (RCE), as demonstrated by #malware samples captured in the wild. Full report",2020-04-26 09:58:00,64,6,0,,0,Redis | malware,2,,
ale_sp_brazil,Alexandre Borges,https://twitter.com/ale_sp_brazil/status/1253968010001473536,"""Malwoverview version 2.5.0 is now available and now...

1. You can scan all third-party apps from an Android mobile against Hybrid Analysis and VT.

2. You can send an app. from device to be analyzed by VT and HA. 

https",2020-04-25 01:44:00,68,34,0,,0,,0,,https://pbs.twimg.com/media/EWb9O0SXsAINnQU.jpg
sektor7net,reenz0h,https://twitter.com/Sektor7Net/status/1252567937652793344,"""""RED TEAM Operator",2020-04-21 05:00:00,182,82,4,,0,,0,,https://pbs.twimg.com/media/EWICKl0XYAITsWA.jpg | https://pbs.twimg.com/media/EWICKoZWsAAx18a.jpg | https://pbs.twimg.com/media/EWICKlxWoAA5YSb.jpg | https://pbs.twimg.com/media/EWICKonX0AAxIIQ.jpg
esilodatabackup,eSilo ,https://twitter.com/eSiloDataBackup/status/1254741864890146820,"""🚨 𝗗𝗢𝗡'𝗧 𝗠𝗜𝗦𝗦 👉 #Malware Delivered to #Sophos Firewalls via Zero-Day Vulnerability https",2020-04-27 04:59:00,4,1,0,,0,Malware | Sophos,2,,
cyber__sloth,ᴘᴀʀᴛʜɪ,https://twitter.com/cyber__sloth/status/1252879669558312960,"""An interesting technique used by #nanocore #malware in LNK files.  Series of VBS commands embedded in the commandline to download payload and executes it. 
Hash",2020-04-22 01:39:00,45,39,3,,0,nanocore | malware,2,,https://pbs.twimg.com/media/EWMe6fXUEAAyGrS.jpg | https://pbs.twimg.com/media/EWMfJECU8AEOpqq.jpg
isukori,Myst¡K¡ngdøm,https://twitter.com/isukori/status/1086226922395353088,"""#Q17 #WideFieldCamera second #DenialOfService #DDoS… """,2019-01-18 03:40:00,,1,0,,0,Q17 | WideFieldCamera | DenialOfService | DDoS,4,,https://pbs.twimg.com/media/DxMNns_WoAEi_Ne.jpg
darnitgroup,Darn IT Group,https://twitter.com/DarnITGroup/status/1244318987661557760,"""Just a simple denial of service.

#cybersecurity #covid19 #denialofservice #comedy #infosec #security #itsecurity https",2020-03-29 10:42:00,1,1,0,,0,cybersecurity | covid19 | denialofservice | comedy | infosec | security | itsecurity,7,,
enricobassetti,Enrico Bassetti,https://twitter.com/EnricoBassetti/status/1188861119668150276,"""#DoS (and possible #MITM) in #Cisco #VPN 3000 Concentrator

TL;DR",2019-10-28 09:52:00,4,2,1,,0,DoS | MITM | Cisco | VPN,4,,
iamthepatratt,Patrick Putman,https://twitter.com/IamThePatRatt/status/1077599280255389696,"""Denial of Service Attack",2018-12-25 08:17:00,5,4,0,,0,,0,,
iamthepatratt,Patrick Putman,https://twitter.com/IamThePatRatt/status/1093261816141094913,"""Check out my latest Cyber Daily article

Denial of Service",2019-02-06 13:35:00,4,5,0,,0,,0,,
theebizwizard,Jason Bloomberg,https://twitter.com/TheEbizWizard/status/1236554846238621697,"""Featured #thoughtleadership for #Cybersecurity week",2020-03-07 23:30:00,2,5,0,,0,thoughtleadersh | Cybersecurity,2,,
searchsecurity,SearchSecurity.com,https://twitter.com/SearchSecurity/status/1077588025264222208,"""A #DenialOfService vulnerability called #FragmentSmack was recently disclosed and found to affect many vendors. @Cisco, for example, discovered FragmentSmack affects nearly 90 products. Learn how this vulnerability can be exploited. https",2018-12-25 07:33:00,3,4,0,Cisco,1,DenialOfService | FragmentSmack,2,,
envisiontech,"Envision Technology Advisors, LLC",https://twitter.com/envisiontech/status/1109170919698825217,"""Common Types of Cyber Attacks {Infographic}

#infographic #cyber #cyberattack #cybersecurity #security #malware #phishing #maninthemiddle #denialofservice #SQL #SQLInjection #zerodayexploit… https",2019-03-22 12:12:00,2,3,0,,0,infographic | cyber | cyberattack | cybersecurity | security | malware | phishing | maninthemiddle | denialofservice | SQL | SQLInjection | zerodayexploit,12,,https://pbs.twimg.com/media/D2SREHHXQAA59h9.jpg
secure_miami,Secure Miami,https://twitter.com/Secure_Miami/status/1226189260497264641,"""“Business Disruptions was the leading motivation in 2019.” #Ransomware #DestructiveMalware #DenialofService Thomas Etheridge, Vice President Worldwide Services from Crowdstrike, is enlightening the public with his keynote happening right now at #SecureMiami2020. 

#SecureMiami…… https",2020-02-08 09:01:00,6,5,0,,0,Ransomware | DestructiveMalw | DenialofService | SecureMiami2020 | SecureMiami,5,,https://pbs.twimg.com/media/EQRMobIWsAAs7vm.jpg
_rpmconsulting_,RPM Consulting,https://twitter.com/_RPMConsulting_/status/1214192878068621313,"""""It has not, truth be told, been the greatest few weeks for #Android users when it comes to #security.""

#cybersecurity #cyberdefense #vulnerability #DoS #DenialofService

https",2020-01-06 06:31:00,2,11,0,,0,Android | security | cybersecurity | cyberdefense | vulnerability | DoS | DenialofService,7,,
sucurisecurity,Sucuri,https://twitter.com/sucurisecurity/status/1163496093876805640,"""We have updated our #guide on ""What is a #DDoS attack"", check updates here. https",2019-08-19 10:01:00,7,4,0,,0,guide | DDoS,2,,
trixanabella,Anabella Trix,https://twitter.com/TrixAnabella/status/1242039179841662976,"""https",2020-03-23 03:43:00,3,3,1,,0,,0,,https://pbs.twimg.com/media/ETycC45UcAAf2Vr.jpg
dulenkp,Dulen K,https://twitter.com/dulenkp/status/1203385569256071168,"""Google's December 2019 Android #security bulletin details the several vulnerabilities within the #Android operating #system, even of a  permanent #DenialofService",2019-12-07 10:47:00,7,16,0,,0,security | Android | system | DenialofService,4,,
airitltd,Air IT Ltd,https://twitter.com/AirITLtd/status/1197173204214784001,"""#DenialOfService and #SIMswapping are just 2 types of #cyberattack we've seen hit headlines recently. We caught up with Lee Johnson, Chief Information Security Officer at @AirSecUK on the importance of having a cyber aware culture.

Find out more 👉 https",2019-11-20 07:21:00,9,5,0,AirSecUK,1,DenialOfService | SIMswapping | cyberattack,3,,
techglobex,TechGlobeX,https://twitter.com/TechGlobeX/status/1251461550763847680,"""Everything about DDoS Attack & DDoS Protection. https",2020-04-18 03:44:00,3,5,0,,0,,0,,
clarice007,Claire Simmons ,https://twitter.com/Clarice007/status/1099253309628706817,"""Now I understand what @baron_philip means when he says @RBKC is tone-deaf. Yet another insult to the #Grenfell affected residents of North Ken. #CommissionersNow #Failure #DenialOfService @JBrokenshire @mhclg… https",2019-02-23 02:23:00,12,8,5,baron_philip | RBKC | JBrokenshire | mhclg,4,Grenfell | CommissionersNo | Failure | DenialOfService,4,,https://pbs.twimg.com/media/D0FVDG9X0AAZPse.jpg
anasishere,Anas Mahmood ,https://twitter.com/AnasIsHere/status/1097500217040089088,"""If you are able to inject arbitrary value in a Cookie then try to DoS with that cookie.

Another interesting bug bounty writeup
Read the blog post here",2019-02-18 06:16:00,35,13,1,,0,,0,,
cybsploit,CybSploit,https://twitter.com/cybsploit/status/1254166377096794112,"""Top 50 Hacking Terms Used in Cyber-Security #Compiler #DDoS #Doxing #Keylogger #Rootkit #ZeroDay https",2020-04-25 14:52:00,14,10,0,,0,Compiler | DDoS | Doxing | Keylogger | Rootkit | ZeroDay,6,,
spencerb99,SpencerB,https://twitter.com/SpencerB99/status/1254886097861128192,"""@virginmedia it's so down it can't even tell me it's down #ddos #virginmediadown #notagreatstarttotheweek… """,2020-04-27 14:32:00,,,0,virginmedia,1,ddos | virginmediadown | notagreatstartt,3,,https://pbs.twimg.com/media/EWpAQJ0WoAEo1zC.jpg
securitynewsbot,Security News Bot,https://twitter.com/SecurityNewsbot/status/1255164919172886528,"""SANDMAN AND FINEPROXY BEHIND THE #DDOS ATTACKS AGAINST https",2020-04-28 09:00:00,,2,0,,0,DDOS,1,,
tamerachess,Tamera Chess,https://twitter.com/TameraChess/status/1255210244495552513,"""Leveraging #CarpetBombing with TCP SYN Reflection, #DDoS attackers managed to take down targets and consequently brought down the networks transited. @ASERTResearch shares key findings in this new blog. @NETSCOUT https",2020-04-28 12:00:00,,,0,ASERTResearch | NETSCOUT,2,CarpetBombing | DDoS,2,,https://pbs.twimg.com/media/EWtnEM-WAAEsNOj.png
securestep9,Sam Stepanyan,https://twitter.com/securestep9/status/1108137847683538946,"""How to break Twitter using only 3 characters - an awesome #DenialOfService bug found by @SeifElsallamy and a $1,120 #bugbounty
 https",2019-03-19 15:47:00,12,9,0,SeifElsallamy,1,DenialOfService | bugbounty,2,,https://pbs.twimg.com/media/D2Dlfi1X4AAt_Cb.jpg
jason7361,𝓙𝓪𝓼𝓸𝓷 𝓣,https://twitter.com/Jason7361/status/1255270648877809667,"""Hear the latest insights from @NETSCOUT's #ThreatIntelligence report around #IoT #DDoS activity and best practices for staying protected.  https",2020-04-28 16:00:00,,2,0,NETSCOUT,1,ThreatIntellige | IoT | DDoS,3,,
atul_ja,atul jaiswal,https://twitter.com/atul_ja/status/1255345404721410052,"""Hoaxcalls Botnet Expands Targets List, #DDoS Capabilities | https",2020-04-28 20:57:00,,,0,,0,DDoS,1,,
astar_research,A*STAR Research,https://twitter.com/astar_research/status/1254953563182305280,"""Distributed-denial-of-service (#DDoS) attacks on #InternetOfThings devices may now be thwarted, thanks to an innovative fog computing approach developed by A*STAR scientists! | https",2020-04-27 19:00:00,4,4,0,,0,DDoS | InternetOfThing,2,,https://pbs.twimg.com/media/EWp9nYYXYAIxU77.jpg
rmaunier,Raphael Maunier ,https://twitter.com/rmaunier/status/1255213862615425026,"""#DDoS of the night #amplification",2020-04-28 12:14:00,2,3,1,,0,DDoS | amplification,2,,https://pbs.twimg.com/media/EWtqPKpXsAAfDdJ.jpg | https://pbs.twimg.com/media/EWtqRcBWsAcpTZn.jpg | https://pbs.twimg.com/media/EWtqVVkWAAEkqRg.jpg
marcwilczek,Marc Wilczek,https://twitter.com/MarcWilczek/status/1254427546495725569,"""#Cybercrime is booming like never before and poised to hit a mind-blowing $6 trillion in revenue by 2021. Whether it's about #DDoS, #Malware, #Phishing, #Ransomware or shiploads of stolen data sets, everything on the #DarkWeb comes with a price tag. 

https",2020-04-26 08:10:00,4,9,0,,0,Cybercrime | DDoS | Malware | Phishing | Ransomware | DarkWeb,6,,
marcwilczek,Marc Wilczek,https://twitter.com/MarcWilczek/status/1255192605626957824,"""Fact",2020-04-28 10:50:00,1,5,0,,0,,0,,https://pbs.twimg.com/media/EWtXBesWkAAHaN9.jpg
allsafevpn,AllSafeVPN AntiDDoS Gaming,https://twitter.com/allsafevpn/status/1254792555193131008,"""During this pandemic we help you to stay safe online.
Get your first DDoS Protected Vpn with instant activation.
FOLLOW THE GUIDE https",2020-04-27 08:20:00,3,2,0,,0,,0,,https://pbs.twimg.com/media/EWnrHpnUMAIjRYm.jpg
a10networks,A10 Networks,https://twitter.com/A10Networks/status/1255206908371308544,"""[Live] A10s Thunder CGN solution offers several user benefits including #security with integrated #DDoS protection",2020-04-28 11:47:00,3,2,0,,0,security | DDoS,2,,https://pbs.twimg.com/media/EWtkB9PWAAMa_-B.png
rogergonzalez21,Roger González,https://twitter.com/rogergonzalez21/status/1254817657628643329,"""Hi everyone!

Last week our #Django production environment #API was attacked by a #DDoS attack. I wrote a blog post detailing how we fixed it by using #NGINX and #fail2ban.

If you have any suggestions or it worked for you, please let me know! 

https",2020-04-27 10:00:00,7,9,0,,0,Django | API | DDoS | NGINX | fail2ban,5,,
hakin9,Hakin9,https://twitter.com/Hakin9/status/1254885532708061184,"""Stopping DDoS Attacks – 10 Tips to Fight DDoS Battles by Drritiman Boraah https",2020-04-27 14:30:00,49,35,1,,0,,0,,
custodiandc,Custodian Data Centres,https://twitter.com/CustodianDC/status/1255070384476561409,"""With #DDoS attacks anticipated to double to 14.5 million by 2022 have you thought about how to protect you business?

To understand how to protect, prevent and mitigate this threat contact our team today on 01622 230382 or email sales@custodiandc.com #CyberAttack #threats… https",2020-04-28 02:44:00,3,2,0,,0,DDoS | CyberAttack | threats,3,,https://pbs.twimg.com/media/EWrnGIRXQAEBQbj.jpg
vakilzadeh,AVEbrahimi,https://twitter.com/vakilzadeh/status/1255077837410795521,"""Windows firewall drowned in network traffic",2020-04-28 03:14:00,5,2,0,,0,,0,,https://pbs.twimg.com/media/EWruieyXsAAdsjQ.jpg
bad_packets,Bad Packets Report,https://twitter.com/bad_packets/status/1255049887659388934,"""Top 10 Countries – April 27, 2020
New unique #DDoS malware hosts detected by country",2020-04-28 01:23:00,5,6,0,,0,DDoS,1,,
shadowserver,Shadowserver,https://twitter.com/Shadowserver/status/1255055191281479680,"""There are still over 2.6M openly recursive DNS servers out there - one of the oldest primary mechanisms abused for amplification #DDoS attacks. Help us get these numbers down! Most in China, but also US, Russia and South Korea. You can track progress at",2020-04-28 01:44:00,11,13,2,,0,DDoS,1,,https://pbs.twimg.com/media/EWrZKLMXYAADQRh.jpg
_privacycanada,Ludovic R.,https://twitter.com/_PrivacyCanada/status/1255132731702300672,"""#Phishing and BEC attacks are threatening remote workforces every single day. Learn 5 proven strategies to defend your firm against these #email attacks in our May 13 webinar, featuring a panel of experts from Valimail. REGISTER TODAY",2020-04-28 06:52:00,,,0,,0,Phishing | email,2,,https://pbs.twimg.com/media/EWsZIx8X0AAFHrj.jpg
trukno_cyber,TruKno.com,https://twitter.com/TruKno_cyber/status/1252671520549330945,"""#COVID19 Cyber scams have blown #Phishing trends out of the water (Get it?). View our curated list of breaches, articles, and threat techniques behind the latest phishing trends",2020-04-21 11:52:00,,,0,,0,COVID19 | Phishing,2,,https://pbs.twimg.com/media/EWJiGIhXsAAtMPa.jpg
prolucid,Prolucid,https://twitter.com/prolucid/status/1255162387835035653,"""@automeme shares some predictions on #CyberCrime in 2020.

#CyberSecurity #DataSecurity #DataProtection #Hackers #Malware #Ransomware #ThreatDetection #Phishing #Virus

https",2020-04-28 08:50:00,5,10,0,automeme,1,CyberCrime | CyberSecurity | DataSecurity | DataProtection | Hackers | Malware | Ransomware | ThreatDetection | Phishing | Virus,10,,
dpcomputing,DP Computing,https://twitter.com/DPComputing/status/1255270384397672452,"""Don't be that person who clicks on the fake email and infects you entire business! Contact us today to help train you and your staff. #phishing #ransomware #training… https",2020-04-28 15:59:00,,1,0,,0,phishing | ransomware | training,3,,https://pbs.twimg.com/media/EWudwujWsAAt4R1.png
notranjeet,Ranjeet Singh,https://twitter.com/NotRanjeet/status/1254983293411287041,"""It uses the same number that ATO used to send SMS  from and Look at the Phishing page. Damnnn Nice try 😁.  #scam #ato #Phishing #ato… https",2020-04-27 20:58:00,,,0,,0,scam | ato | Phishing | ato,4,,https://pbs.twimg.com/media/EWqYoW7UwAIut0h.jpg | https://pbs.twimg.com/media/EWqYoW9U4AI3iRE.jpg
malwarepatrol,Malware Patrol,https://twitter.com/MalwarePatrol/status/1255001155509370880,"""Another active #Phishing targeting Facebook
URL",2020-04-27 22:09:00,,1,0,,0,Phishing,1,,https://pbs.twimg.com/media/EWqo5mcWkAA6Tzv.jpg
romonlyht,ROMonlyHT,https://twitter.com/romonlyht/status/1255343435470508035,"""https",2020-04-28 20:49:00,,,0,,0,,0,,https://pbs.twimg.com/media/EWvgMsGWAAEL_vm.png
nhinhai_kkb,Niña Mendoza,https://twitter.com/nhinhai_kkb/status/1255162111224881153,"""#phishing 😒

Please forward this scam message to reportphishing@apple.com 👍🏻 https",2020-04-28 08:49:00,,,0,,0,phishing,1,,
graycyberdef,Gray Cyber Security,https://twitter.com/graycyberdef/status/1255240376945967107,"""With 76% of businesses reporting being a victim of a #phishing attack in the last year, do your employees know the risks and reporting procedures for your company? Visit https",2020-04-28 14:00:00,,,0,,0,phishing,1,,https://pbs.twimg.com/media/EWuCeDpWsAAJWMv.png
cheese1138,Cheese!,https://twitter.com/Cheese1138/status/1255223421560119298,"""Seems legit. #Phishing… """,2020-04-28 12:52:00,2,,1,,0,Phishing,1,,https://pbs.twimg.com/media/EWtzC55XsAcIXdV.jpg
checkpoint_nl,CheckPointNederland,https://twitter.com/CheckPoint_NL/status/1254780712000995328,"""CheckPointSW",2020-04-27 07:33:00,,,0,,0,,0,,https://pbs.twimg.com/media/EWnewweVAAotdSN.jpg
andreadraghetti,Andrea Draghetti ,https://twitter.com/AndreaDraghetti/status/1253619055019294720,"""🎉 Finally 🎉

Bachelor degree in Computer Systems and Networks Security!

Thesis on the evolution of #Phishing! 🎣 🐟 

#UniMi… https",2020-04-24 02:37:00,224,11,64,,0,Phishing | UniMi,2,,https://pbs.twimg.com/media/EWW_4gnWoAIjq6f.jpg
mailfence,Mailfence,https://twitter.com/Mailfence/status/1255321832648998912,"""#PHISHING scam alert",2020-04-28 19:23:00,3,,0,,0,PHISHING,1,,https://pbs.twimg.com/media/EWvMilEWkAIXfsY.jpg | https://pbs.twimg.com/media/EWvMij-XkAUT_FR.png
martinsugdenbjl,Martin Sugden,https://twitter.com/MartinSugdenBJL/status/1254703147173449730,"""A reminder of #phishing attacks, what they are and how to recognise them
https",2020-04-27 02:25:00,1,1,0,,0,phishing,1,,https://pbs.twimg.com/media/EWmZ3QpWkAAwaB7.jpg
nila_karthik,Karthik,https://twitter.com/nila_karthik/status/1252603424970948608,"""Today.. I have got a mail like this to my office mail. This is a phishing mail! Pls be aware guys.. Don't click on anything like that

#phishing #ScamAlert #email… https",2020-04-21 07:21:00,,,0,,0,phishing | ScamAlert | email,3,,https://pbs.twimg.com/media/EWIkKCqUYAAiQb5.jpg
abuse_reporting,report-abuse.org,https://twitter.com/abuse_reporting/status/1252730846227783680,"""What is under the Hood of the most Basic #Phishing  Attack?

https",2020-04-21 15:48:00,,,0,,0,Phishing,1,,https://pbs.twimg.com/media/EWKYATUU0AA6Qh_.png
techcertlk,TechCERT,https://twitter.com/TechCERTLK/status/1255122679415308291,"""TechCERT has detected a chained Facebook Phishing attack spread through social media. Turn On Two Factor Authentication on Facebook at Settings to make the Facebook account more secure. 
Additionally, refrain from clicking links in chat messages. #LKA #SriLanka #Phishing… https",2020-04-28 06:12:00,,1,0,,0,LKA | SriLanka | Phishing,3,,https://pbs.twimg.com/media/EWsXMhZXsAIXJyf.png
exploitone1,exploitone,https://twitter.com/exploitone1/status/1255354297149206528,"""#infosec #cybersecurity #hacking #ransomware SMART PARKING METERS COMPANY HACKED AND INFECTED WITH RANSOMWARE
https",2020-04-28 21:32:00,,3,0,,0,infosec | cybersecurity | hacking | ransomware,4,,
xx_icode,iCode,https://twitter.com/xx_iCode/status/1254778491842650113,"""I'm fed up... (pijin slur)^ #hacking… """,2020-04-27 07:24:00,,,0,,0,hacking,1,,https://pbs.twimg.com/media/EWneWxXUEAYbnDL.jpg
hack_a_sat,Hack-A-Sat,https://twitter.com/hack_a_sat/status/1252974210412150786,"""BREAKING",2020-04-22 07:55:00,50,37,3,,0,,0,,
moixsec,Moix Security,https://twitter.com/moixsec/status/1255343213797347330,"""Microsoft Patch Tuesday, April 2020 Edition https",2020-04-28 20:48:00,,2,0,,0,,0,,https://pbs.twimg.com/media/EWvgAC8WkAAJon6.png
hakin9,Hakin9,https://twitter.com/Hakin9/status/1255217722352381953,"""Injectify - Perform advanced MiTM attacks on websites with ease. https",2020-04-28 12:30:00,30,19,0,,0,,0,,
satg_tech,Sat G,https://twitter.com/satg_tech/status/1255341787574685701,"""Stealing data by manipulating the speed and vibration of PC fans. Unbelievable. 

#cybersecurity #tech #Hacking

https",2020-04-28 20:42:00,,1,0,,0,cybersecurity | tech | Hacking,3,,https://pbs.twimg.com/media/EWves_KWAAEwr8G.jpg
hakin9,Hakin9,https://twitter.com/Hakin9/status/1255248046289498117,"""uDork - Google Hacking Tool https",2020-04-28 14:30:00,39,22,1,,0,,0,,
giridhararaam,Giridhara Raam,https://twitter.com/GiridharaRaam/status/1255340500040781830,"""BREAKING 🚨",2020-04-28 20:37:00,,,1,,0,,0,,
_responsibles,Les_Responsibles,https://twitter.com/_Responsibles/status/1253634822326702080,"""NEW SERIES - Our TEFL teachers Kat and Lynn have inadvertently fallen in with the wrong crowd in Eastern Europe. The prie-teens they are teaching only have one thing on their minds, and it ain't conjugated verbs. Follow Kat and Lynn in this #hacking good yarn… https",2020-04-24 03:40:00,,1,0,,0,hacking,1,,https://pbs.twimg.com/media/EWXLXc_WkAI3uWl.jpg
hakin9,Hakin9,https://twitter.com/Hakin9/status/1255320397802807299,"""How to Open a Backdoor in Android Devices - Preview  https",2020-04-28 19:18:00,10,5,0,,0,,0,,
ncsbyhtcs,NCSbyNCSV,https://twitter.com/NCSbyHTCS/status/1255363875584827393,"""Akamai Technologies Inc (AKAM) Q1 2020 Earnings Call Transcript | #socialmedia | #hacking | #facebook | #computerhacking https",2020-04-28 22:10:00,,,0,,0,socialmedia | hacking | facebook | computerhacking,4,,https://pbs.twimg.com/media/EWvyystWsAA0yXY.jpg
hackthebox_eu,Hack The Box,https://twitter.com/hackthebox_eu/status/1255068658163953664,"""#HackingBattlegrounds Attack & Defend Game Mode",2020-04-28 02:37:00,425,110,14,,0,HackingBattlegr,1,,
